samplename	originalsamplename	sitename	country	longitude	latitude	elevation	locationreliability	locationnotes	areaofsite	samplecontext	sitedescription	vegdescription	sampletype	samplemethod	agebp	ageuncertainty	ispercent	notes	okexcept	empd_version
Bakker_b59	SpectNum59	Aglasun	Turkey	30.559433	37.624117	1166	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Quercus coccifera/Juniperus maquis	moss				f			EMPD2
Bakker_b6	SpectNum6	Baskoy	Turkey	30.4964	37.645733	1150	A	Responsible author has checked locations and assures these are correct (BD)		scattered trees/shrubs		Herbacious vegetation on travertine	moss				f			EMPD2
Bakker_b60	SpectNum60	Aglasun	Turkey	30.561183	37.61925	1285	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Quercus coccifera maquis	moss				f			EMPD2
Bakker_b61	SpectNum61	Canakli	Turkey	30.597183	37.56245	1162	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Overgrazed Quercus coccifera shrubs	moss				f			EMPD2
Bakker_b62	SpectNum62	Aglasun	Turkey	30.594	37.6279	1100	A	Responsible author has checked locations and assures these are correct (BD)					moss				f			EMPD2
Bakker_b63	SpectNum63	Aglasun	Turkey	30.564583	37.6217	1231	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Open vegetation near Quercus cerris/Juniperus stands	moss				f			EMPD2
Bakker_b64	SpectNum64	Aglasun	Turkey	30.564133	37.6205	1269	A	Responsible author has checked locations and assures these are correct (BD)									f			EMPD2
Bakker_b7	SpectNum7	Sagalassos	Turkey	30.528783	37.675917	1498	A	Responsible author has checked locations and assures these are correct (BD)		scattered trees/shrubs		Herbacious vegetation with abundant Astragalus	moss				f			EMPD2
Bakker_b8	SpectNum8	Canakli	Turkey	30.58115	37.584167	1239	A	Responsible author has checked locations and assures these are correct (BD)		scattered trees/shrubs		Open herbacious vegetation within Quercus coccifera maquis	moss				f			EMPD2
Bakker_b9	SpectNum9	Gravgaz Marsh	Turkey	30.405583	37.563083	1394	A	Responsible author has checked locations and assures these are correct (BD)		scattered trees/shrubs		Open herbacious vegetation aboce Quercus coccifera maquis	moss				f			EMPD2
Barboni_a1	197	Bulgb33	Bulgaria	27.11	44.08	200											f			EMPD2
Barboni_a10	206	Bulgb42	Bulgaria	26.9	44.11	200											f			EMPD2
Barboni_a100	3174	TA14	Turkey	40.099	37.909	762	C						moss				f	Coordinates or other location info not available from reference paper, but shows low resolution map. Point placement would be very uncertain if done using this map.		EMPD2
Barboni_a1000	MAROC124	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.12, lat 33.32.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1001	MAROC125	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.12, lat 33.32.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1002	MAROC126	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.12, lat 33.32.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1003	MAROC127	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.12, lat 33.32.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1004	MAROC128	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.12, lat 33.32.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1005	MAROC129	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.12, lat 33.32.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1006	MAROC13	Moroc	Morocco				X	Do not use! Location information unreliable; long -9.6, lat 29.95.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1007	MAROC130	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.12, lat 33.32.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1008	MAROC131	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.1, lat 33.42.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1009	MAROC132	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.1, lat 33.42.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a101	3175	TA15	Turkey	39.72	38.18	914	C						moss				f	Coordinates or other location info not available from reference paper, but shows low resolution map. Point placement would be very uncertain if done using this map.		EMPD2
Barboni_a1010	MAROC133	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.1, lat 33.42.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1011	MAROC134	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.1, lat 33.4.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1012	MAROC135	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.12, lat 33.4.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1013	MAROC136	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.15, lat 33.38.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1014	MAROC137	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.15, lat 33.38.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1015	MAROC138	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.12, lat 33.4.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1016	MAROC139	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.15, lat 33.38.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1017	MAROC14	Moroc	Morocco				X	Do not use! Location information unreliable; long -9.65, lat 29.95.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
Barboni_a1018	MAROC140	Moroc	Morocco				X	Do not use! Location information unreliable; long -5.15, lat 33.38.									f		Country,Elevation,Latitude,Longitude,Precipitation,Temperature,	EMPD2
